id,customer,ordered_at,store_id,subtotal,tax_paid,order_total
1,1,2024-01-01T08:00:00,1,1000,40,1040
2,2,2024-01-02T09:15:00,1,2000,80,2080
3,3,2024-01-02T11:30:00,2,500,20,520
4,1,2024-01-03T14:00:00,2,1500,60,1560
5,4,2024-01-04T10:00:00,3,700,28,728
6,5,2024-01-05T13:00:00,3,1100,44,1144
7,6,2024-01-06T16:00:00,4,900,45,945
8,2,2024-01-07T08:30:00,1,1800,72,1872
9,7,2024-01-08T12:00:00,2,600,24,624
10,8,2024-01-09T17:00:00,4,2500,125,2625
11,3,2024-01-10T09:00:00,3,800,32,832
12,9,2024-01-11T11:00:00,1,1200,48,1248
13,10,2024-01-12T14:30:00,2,400,16,416
14,1,2024-01-13T15:00:00,4,3000,150,3150
15,5,2024-01-14T10:00:00,1,1600,64,1664
